Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
Verify  the bank name field is coming when bank transfer is selected in the payment method.,RN-135,10191,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,06/Sep/21 5:04 AM,07/Sep/21 4:04 PM,09/Sep/21 5:08 AM,07/Sep/21 4:04 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0015b:,,RN Sprint 1,,,,,,,,Done
Verify  the paypal email account field with spaces,RN-134,10190,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,05/Sep/21 9:10 AM,07/Sep/21 4:04 PM,09/Sep/21 5:08 AM,07/Sep/21 4:04 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i00153:,,RN Sprint 1,,,,,,,,Done
Verify that proper error message is coming when the paypal email account field is blank,RN-133,10189,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,05/Sep/21 9:08 AM,07/Sep/21 4:04 PM,09/Sep/21 5:08 AM,07/Sep/21 4:04 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0014v:,,RN Sprint 1,,,,,,,,Done
Verify that PayPal email account field with dot(.) symbol,RN-132,10188,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,05/Sep/21 9:06 AM,07/Sep/21 4:04 PM,09/Sep/21 5:08 AM,07/Sep/21 4:04 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0014n:,,RN Sprint 1,,,,,,,,Done
Verify that PayPal email account field with @ symbol,RN-131,10187,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,05/Sep/21 9:03 AM,07/Sep/21 4:04 PM,09/Sep/21 5:08 AM,07/Sep/21 4:04 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0014f:,,RN Sprint 1,,,,,,,,Done
Verify that PayPal email account field with alphanumeric characters,RN-130,10186,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,05/Sep/21 9:01 AM,07/Sep/21 4:04 PM,09/Sep/21 5:08 AM,07/Sep/21 4:04 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i00147:,,RN Sprint 1,,,,,,,,Done
Verify that PayPal email account field is enable or not,RN-129,10185,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,05/Sep/21 8:59 AM,07/Sep/21 4:04 PM,09/Sep/21 5:08 AM,07/Sep/21 4:04 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0013z:,,RN Sprint 1,,,,,,,,Done
Verify that PayPal email account field is coming or not when paypal is selected as an option in the payment method list,RN-128,10184,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,05/Sep/21 8:56 AM,07/Sep/21 4:04 PM,09/Sep/21 5:08 AM,07/Sep/21 4:04 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0013r:,,RN Sprint 1,,,,,,,,Done
Verify that cheque payee name field with alphanumeric data,RN-126,10182,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,05/Sep/21 7:12 AM,07/Sep/21 4:04 PM,09/Sep/21 5:08 AM,07/Sep/21 4:04 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0013b:,,RN Sprint 1,,,,,,,,Done
Verify that proper error message is coming when the cheque payee name field is blank,RN-125,10181,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,05/Sep/21 7:09 AM,07/Sep/21 4:04 PM,09/Sep/21 5:08 AM,07/Sep/21 4:04 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i00133:,,RN Sprint 1,,,,,,,,Done
Verify that cheque payee name field with spaces,RN-124,10180,Test,Blocked,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,04/Sep/21 7:15 PM,08/Sep/21 1:36 PM,08/Sep/21 1:36 PM,,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0012v:,,RN Sprint 1,,,,,,,,In Progress
Verify that cheque payee name field is enable or not,RN-123,10179,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,04/Sep/21 7:13 PM,07/Sep/21 4:04 PM,09/Sep/21 5:08 AM,07/Sep/21 4:04 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0012n:,,RN Sprint 1,,,,,,,,Done
Verify that cheque payee name field is coming when cheque is selected in the payment method.,RN-122,10178,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,04/Sep/21 7:10 PM,07/Sep/21 4:04 PM,09/Sep/21 5:08 AM,07/Sep/21 4:04 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0012f:,,RN Sprint 1,,,,,,,,Done
Verify that only one option is selectable at a time or not,RN-121,10177,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,04/Sep/21 7:06 PM,07/Sep/21 4:04 PM,09/Sep/21 5:08 AM,07/Sep/21 4:04 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i00127:,,RN Sprint 1,,,,,,,,Done
Verify that options are correct in the the payment method field.,RN-120,10176,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,04/Sep/21 7:04 PM,07/Sep/21 4:04 PM,09/Sep/21 5:08 AM,07/Sep/21 4:04 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0011z:,,RN Sprint 1,,,,,,,,Done
Verify that payment method field is active or not,RN-119,10175,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,04/Sep/21 7:00 PM,07/Sep/21 4:04 PM,08/Sep/21 10:43 AM,07/Sep/21 4:04 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0011r:,,RN Sprint 1,,,,,,,,Done
Verify that tax id field with special characters,RN-118,10174,Test,Blocked,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,04/Sep/21 6:59 PM,08/Sep/21 1:33 PM,08/Sep/21 1:33 PM,,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0011j:,,RN Sprint 1,,,,,,,,In Progress
Verify that tax id field is accepting alphanumeric value,RN-117,10173,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,04/Sep/21 6:56 PM,07/Sep/21 4:04 PM,09/Sep/21 5:08 AM,07/Sep/21 4:04 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0011b:,,RN Sprint 1,,,,,,,,Done
Verify that tax id field is enable or not,RN-116,10172,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,04/Sep/21 6:54 PM,07/Sep/21 4:04 PM,09/Sep/21 5:08 AM,07/Sep/21 4:04 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i00113:,,RN Sprint 1,,,,,,,,Done
Verify that commission field is not accepting only one .(dot),RN-115,10171,Test,Blocked,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,04/Sep/21 6:48 PM,08/Sep/21 1:32 PM,08/Sep/21 1:32 PM,,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0010v:,,RN Sprint 1,,,,,,,,In Progress
Verify that commission field is not accepting special characters except .(dot),RN-114,10170,Test,Blocked,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,04/Sep/21 6:45 PM,08/Sep/21 1:33 PM,08/Sep/21 1:33 PM,,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0010n:,,RN Sprint 1,,,,,,,,In Progress
Verify that commission field is not accepting alphabets,RN-113,10169,Test,Blocked,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,04/Sep/21 6:44 PM,08/Sep/21 1:33 PM,08/Sep/21 1:33 PM,,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0010f:,,RN Sprint 1,,,,,,,,In Progress
Verify that commission field is only accepting numeric value.,RN-112,10168,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,04/Sep/21 6:42 PM,07/Sep/21 4:04 PM,08/Sep/21 10:29 AM,07/Sep/21 4:04 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i00107:,,RN Sprint 1,,,,,,,,Done
Verify that commission input field is enable or not,RN-111,10167,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,04/Sep/21 6:40 PM,07/Sep/21 4:04 PM,09/Sep/21 5:08 AM,07/Sep/21 4:04 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000zz:,,RN Sprint 1,,,,,,,,Done
Verify that payment details tab is opening or not.,RN-110,10166,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,04/Sep/21 6:37 PM,07/Sep/21 4:04 PM,09/Sep/21 5:08 AM,07/Sep/21 4:04 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000zr:,,RN Sprint 1,,,,,,,,Done
"As an admin, I want to add the payment details of a new user.",RN-109,10165,Story,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,04/Sep/21 6:34 PM,07/Sep/21 4:04 PM,09/Sep/21 5:08 AM,07/Sep/21 4:04 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,,RN-110,RN-111,RN-112,RN-113,RN-114,RN-115,RN-116,RN-117,RN-118,RN-119,RN-120,RN-121,RN-122,RN-123,RN-124,RN-125,RN-126,RN-128,RN-129,RN-130,RN-131,RN-132,RN-133,RN-134,RN-135,RN-136,RN-137,RN-138,RN-139,RN-140,RN-141,RN-142,RN-143,RN-144,RN-145,RN-146,RN-147,RN-148,RN-149,RN-150,RN-151,RN-152,RN-205,,,,,,,,,,,,,,,,{},,RN-1,,,,,0|i000zj:,,RN Sprint 1,,,,,,,,Done
Verify that region/state dropdown field is showing proper error message,RN-108,10164,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,04/Sep/21 6:11 PM,07/Sep/21 3:52 PM,09/Sep/21 5:08 AM,07/Sep/21 3:52 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000zb:,,RN Sprint 1,,,,,,,,Done
Verify that region/state dropdown field is displaying the option selected,RN-107,10163,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,04/Sep/21 6:09 PM,07/Sep/21 3:52 PM,09/Sep/21 5:08 AM,07/Sep/21 3:52 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000z3:,,RN Sprint 1,,,,,,,,Done
Verify that region/state dropdown field is having proper options,RN-106,10162,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,04/Sep/21 6:07 PM,07/Sep/21 3:52 PM,09/Sep/21 5:08 AM,07/Sep/21 3:52 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000yv:,,RN Sprint 1,,,,,,,,Done
Verify that region/state dropdown field is enable or not,RN-105,10161,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,04/Sep/21 6:05 PM,07/Sep/21 3:52 PM,09/Sep/21 5:08 AM,07/Sep/21 3:52 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000yn:,,RN Sprint 1,,,,,,,,Done
Verify that country dropdown field is displaying the option selected,RN-104,10160,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,04/Sep/21 6:03 PM,07/Sep/21 3:52 PM,09/Sep/21 5:08 AM,07/Sep/21 3:52 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000yf:,,RN Sprint 1,,,,,,,,Done
Verify that country dropdown field is having proper options or not,RN-103,10159,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,04/Sep/21 6:00 PM,07/Sep/21 3:52 PM,09/Sep/21 5:08 AM,07/Sep/21 3:52 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000y7:,,RN Sprint 1,,,,,,,,Done
Verify that country dropdown field is enable or not,RN-102,10158,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,04/Sep/21 5:58 PM,07/Sep/21 3:52 PM,09/Sep/21 5:08 AM,07/Sep/21 3:52 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-101,RN-75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000xz:,,RN Sprint 1,,,,,,,,Done
Verify that postcode field is having 5 or 6 digit number.,RN-101,10157,Test,Blocked,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,04/Sep/21 5:49 PM,08/Sep/21 1:32 PM,08/Sep/21 1:32 PM,,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-100,RN-75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000xr:,,RN Sprint 1,,,,,,,,In Progress
Verify that postcode field with alphabets and special characters.,RN-100,10156,Test,Blocked,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,04/Sep/21 5:45 PM,08/Sep/21 1:31 PM,08/Sep/21 1:31 PM,,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-99,RN-75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000xj:,,RN Sprint 1,,,,,,,,In Progress
Verify that postcode field with numeric data.,RN-99,10155,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,04/Sep/21 5:43 PM,07/Sep/21 3:52 PM,09/Sep/21 5:08 AM,07/Sep/21 3:52 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-98,RN-75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000xb:,,RN Sprint 1,,,,,,,,Done
